id,name,description,inkType,type,price,spawnPos,,
1,불꽃 일격,기본 공격의 공격속도가 LevelData% 증가한다.,RED,BASICATTACK,160,0.07,0.15,0.2
2,불꽃 질주,잉크대시 사용 후 플레이어의 이동속도가 1.5초간 LevelData% 증가한다.,RED,DASH,170,0.15,0.25,0.4
3,불꽃놀이,잉크스킬의 투사체 속도가 LevelData% 증가하고 사용 후 기본공격의 공격속도가 3초간 10% 증가한다.,RED,SKILL,160,0.15,0.3,0.45
5,체감 온도,빨강 스크립트 개수 1개당 모든 피해량이 LevelData%증가한다.,RED,PASSIVE,190,0.03,0.03,0.03
7,덩쿨 질주,잉크대시 사용 시 체력 LevelData%의 실드 효과를 10초간 얻는다.,GREEN,DASH,180,0.05,0.07,0.1
8,목화 포자,투사체 명중 시 체력의 LevelData%에 해당하는 실드 효과가 2초간 적용된다. 추가적으로 더 많은 투사체가 명중할수록 지속시간이 증가한다.,GREEN,SKILL,200,0.1,0.15,0.2
9,억센 덩쿨,실드 효과가 지속되는 중에 자신이 받는 모든 피해가 LevelData%감소한다.,GREEN,PASSIVE,180,0.1,0.15,0.3
10,초목의 기운,초록 스크립트 개수 1개당 최대 체력이 LevelData%증가한다.,GREEN,PASSIVE,170,0.04,0.04,0.04
11,거품 일격,기본 공격의 명중 시 잉크 게이지를 LevelData%회복한다.,BLUE,BASICATTACK,180,0.05,0.07,0.1
14,물 절약,잉크 대시와 잉크 스킬이 소모하는 잉크 게이지가 LevelData%감소한다.,BLUE,PASSIVE,150,0.15,0.25,0.45
15,깊은 우물,잉크 게이지의 자동 회복 효율이 LevelData%증가한다.,BLUE,PASSIVE,160,0.04,0.04,0.04
